Zone,identifier,Order
Grey,1,1
Grey,2,2
Grey,3,3
Red,105,1
Red,202,2
Red,102,3
Red,302,4
Red,205,5
Red,108,6
Red,305,7
Red,109,8
Grn,117,1
Grn,217,2
Grn,113,3
Grn,216,4
Grn,311,5
Grn,211,6
Grn,116,7
Grn,122,8
Prpl,124,1
Prpl,218,2
Prpl,118,3
Prpl,212,4
Prpl,312,5
Prpl,407,6
Prpl,307,7
Prpl,404,8
Orng,125,1
Orng,219,2
Orng,126,3
Orng,220,4
Orng,127,5
Orng,120,6
Orng,214,7
Orng,314,8
Turq,119,1
Turq,213,2
Turq,313,3
Turq,409,4
Turq,505,5
Turq,602,6
Turq,504,7
Turq,408,8
Ylw,113,1
Ylw,209,2
Ylw,114,3
Ylw,309,4
Ylw,405,5
Ylw,308,6
Ylw,502,7
Ylw,402,8
Blue,104,1
Blue,204,2
Blue,107,3
Blue,207,4
Blue,111,5
Blue,112,6
Blue,208,7
Blue,304,8
